Order,Income,Category,Value
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Number_of_household,1512.0
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Number_of_household,1501.0
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Number_of_household,1456.0
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Number_of_household,1437.0
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Number_of_household,1353.0
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Number_of_people,2.29
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Number_of_people,2.55
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Number_of_people,3.05
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Number_of_people,3.26
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Number_of_people,3.32
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Number_of_labor,0.52
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Number_of_labor,0.9
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Number_of_labor,1.54
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Number_of_labor,1.76
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Number_of_labor,1.96
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Age,72.0
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Age,67.2
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Age,56.3
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Age,52.9
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Age,52.8
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Total_Concumption,2407054.0
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Total_Concumption,3019385.0
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Total_Concumption,3356886.0
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Total_Concumption,3856073.0
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Total_Concumption,5000407.0
Ⅰ,"(   0,000,000 ～ 3,330,000 )",Total_Food_Consumption,817097.0
Ⅱ,"(   3,330,000 ～ 4,700,000 )",Total_Food_Consumption,963807.0
Ⅲ,"(   4,700,000 ～ 6,390,000 )",Total_Food_Consumption,1005609.0
Ⅳ,"(   6,390,000 ～ 8,640,000 )",Total_Food_Consumption,1089400.0
Ⅴ,"(   8,640,000 ～ 0,000,000 )",Total_Food_Consumption,1317354.0
Ⅰ,"(   0,000,000 ～ 3,330,000 )",CEREALS,72029.0
