Area,Year,Item,Element,Unit,Value
Germany,1961,Apples,Production,t,851000.0
Germany,1961,Apricots,Production,t,2900.0
Germany,1961,Asparagus,Production,t,16300.0
Germany,1961,Avocados,Production,t,
Germany,1961,Bananas,Production,t,
Germany,1961,Barley,Production,t,3669020.0
Germany,1961,"Beans, dry",Production,t,12693.0
Germany,1961,"Beer of barley, malted",Production,t,6895700.0
Germany,1961,Blueberries,Production,t,
Germany,1961,"Broad beans and horse beans, dry",Production,t,80900.0
Germany,1961,"Broad beans and horse beans, green",Production,t,20100.0
Germany,1961,"Buffalo fat, unrendered",Production,t,0.0
Germany,1961,Butter of cow milk,Production,t,633900.0
Germany,1961,"Buttermilk, dry",Production,t,
Germany,1961,Cabbages,Production,t,869841.0
Germany,1961,Carrots and turnips,Production,t,200762.0
Germany,1961,"Cattle fat, unrendered",Production,t,85598.11
Germany,1961,Cauliflowers and broccoli,Production,t,128945.0
Germany,1961,"Cheese from milk of buffalo, fresh or processed",Production,t,
Germany,1961,"Cheese from milk of goats, fresh or processed",Production,t,39600.0
Germany,1961,"Cheese from milk of sheep, fresh or processed",Production,t,
Germany,1961,Cheese from skimmed cow milk,Production,t,175300.0
Germany,1961,Cheese from whole cow milk,Production,t,204700.0
Germany,1961,Cherries,Production,t,184246.0
Germany,1961,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Production,t,
Germany,1961,Coconut oil,Production,t,118400.0
Germany,1961,Cotton seed,Production,t,
Germany,1961,Cottonseed oil,Production,t,162.0
Germany,1961,Cranberries,Production,t,
Germany,1961,"Cream, fresh",Production,t,125000.0
Germany,1961,Cucumbers and gherkins,Production,t,97490.0
Germany,1961,Currants,Production,t,143988.0
Germany,1961,"Edible offal of buffalo, fresh, chilled or frozen",Production,t,0.0
Germany,1961,"Edible offal of cattle, fresh, chilled or frozen",Production,t,114946.04
Germany,1961,"Edible offal of goat, fresh, chilled or frozen",Production,t,242.06
Germany,1961,"Edible offal of pigs, fresh, chilled or frozen",Production,t,305302.86
Germany,1961,"Edible offal of sheep, fresh, chilled or frozen",Production,t,1618.75
Germany,1961,"Edible offals of horses and other equines,  fresh, chilled or frozen",Production,t,972.8
Germany,1961,Fat of pigs,Production,t,156100.0
Germany,1961,Figs,Production,t,
Germany,1961,"Flax, raw or retted",Production,t,8530.0
Germany,1961,"Game meat, fresh, chilled or frozen",Production,t,17000.0
Germany,1961,"Goat fat, unrendered",Production,t,161.37
Germany,1961,Gooseberries,Production,t,97735.0
Germany,1961,Grapes,Production,t,482500.0
Germany,1961,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",Production,t,
Germany,1961,"Hazelnuts, in shell",Production,t,85.0
Germany,1961,Hempseed,Production,t,581.0
Germany,1961,"Hen eggs in shell, fresh",Production,t,675300.0
Germany,1961,"Hen eggs in shell, fresh",Production,1000 No,11974000.0
Germany,1961,Hop cones,Production,t,13876.0
Germany,1961,"Horse meat, fresh or chilled",Production,t,25600.0
Germany,1961,Kiwi fruit,Production,t,
Germany,1961,Leeks and other alliaceous vegetables,Production,t,0.0
Germany,1961,Lemons and limes,Production,t,
Germany,1961,"Lentils, dry",Production,t,5.0
Germany,1961,Lettuce and chicory,Production,t,78100.0
Germany,1961,Linseed,Production,t,8715.0
Germany,1961,Lupins,Production,t,13398.0
Germany,1961,Maize (corn),Production,t,26151.0
Germany,1961,Margarine and shortening,Production,t,729100.0
Germany,1961,"Meat of buffalo, fresh or chilled",Production,t,
Germany,1961,"Meat of cattle with the bone, fresh or chilled",Production,t,1296200.0
Germany,1961,"Meat of chickens, fresh or chilled",Production,t,150100.0
Germany,1961,"Meat of ducks, fresh or chilled",Production,t,10080.0
Germany,1961,"Meat of geese, fresh or chilled",Production,t,2000.0
Germany,1961,"Meat of goat, fresh or chilled",Production,t,5648.0
Germany,1961,"Meat of pig with the bone, fresh or chilled",Production,t,2671400.0
Germany,1961,"Meat of rabbits and hares, fresh or chilled",Production,t,16300.0
Germany,1961,"Meat of sheep, fresh or chilled",Production,t,37000.0
Germany,1961,"Meat of turkeys, fresh or chilled",Production,t,7000.0
Germany,1961,Mixed grain,Production,t,1697670.0
Germany,1961,Molasses,Production,t,484000.0
Germany,1961,Mushrooms and truffles,Production,t,10530.0
Germany,1961,Mustard seed,Production,t,3513.0
Germany,1961,Natural honey,Production,t,9360.0
Germany,1961,Oats,Production,t,2768654.0
Germany,1961,Oil of linseed,Production,t,10727.48
Germany,1961,Oil of maize,Production,t,5000.0
Germany,1961,Oil of palm kernel,Production,t,60100.0
Germany,1961,Oil of sesame seed,Production,t,0.0
Germany,1961,Olives,Production,t,
Germany,1961,"Onions and shallots, dry (excluding dehydrated)",Production,t,71086.0
Germany,1961,"Onions and shallots, green",Production,t,
Germany,1961,Oranges,Production,t,
Germany,1961,"Other beans, green",Production,t,85742.0
Germany,1961,Other berries and fruits of the genus vaccinium n.e.c.,Production,t,
Germany,1961,"Other citrus fruit, n.e.c.",Production,t,
Germany,1961,"Other oil seeds, n.e.c.",Production,t,1343.0
Germany,1961,Other pulses n.e.c.,Production,t,46628.0
Germany,1961,Other stone fruits,Production,t,
Germany,1961,"Other tropical fruits, n.e.c.",Production,t,
Germany,1961,"Other vegetables, fresh n.e.c.",Production,t,1351200.0
Germany,1961,Palm oil,Production,t,
Germany,1961,Peaches and nectarines,Production,t,37708.0
