Country,Year,Temperature (°C),Precipitation (mm)
Germany,1950,-0.9947603,790.8431
Germany,1950,3.0613554,790.8431
Germany,1950,4.9843216,790.8431
Germany,1950,6.919163,790.8431
Germany,1950,13.779639,790.8431
Germany,1950,17.631556,790.8431
Germany,1950,18.170187,790.8431
Germany,1950,17.786829,790.8431
Germany,1950,13.217996,790.8431
Germany,1950,8.03817,790.8431
Germany,1950,4.2338233,790.8431
Germany,1950,-2.1105287,790.8431
Germany,1951,1.4305722,758.1261
Germany,1951,1.9720327,758.1261
Germany,1951,2.3888412,758.1261
Germany,1951,7.406067,758.1261
Germany,1951,11.544678,758.1261
Germany,1951,15.409606,758.1261
Germany,1951,17.23459,758.1261
Germany,1951,17.536549,758.1261
Germany,1951,14.767192,758.1261
Germany,1951,7.5643826,758.1261
Germany,1951,6.527287,758.1261
Germany,1951,2.4703968,758.1261
Germany,1952,0.18732333,830.3705
Germany,1952,-0.05481779,830.3705
Germany,1952,2.6293716,830.3705
Germany,1952,10.389263,830.3705
Germany,1952,12.350787,830.3705
Germany,1952,15.334857,830.3705
Germany,1952,18.411776,830.3705
Germany,1952,18.011732,830.3705
Germany,1952,10.633231,830.3705
Germany,1952,7.282566,830.3705
Germany,1952,1.6674644,830.3705
Germany,1952,-0.59406155,830.3705
Germany,1953,-0.8818408,640.35815
Germany,1953,-0.060099065,640.35815
Germany,1953,4.989328,640.35815
Germany,1953,9.158531,640.35815
Germany,1953,13.297674,640.35815
Germany,1953,16.189346,640.35815
Germany,1953,17.68495,640.35815
Germany,1953,16.681276,640.35815
Germany,1953,13.731031,640.35815
Germany,1953,10.542538,640.35815
Germany,1953,4.849489,640.35815
Germany,1953,2.5014324,640.35815
Germany,1954,-3.254344,885.7753
Germany,1954,-3.6960442,885.7753
Germany,1954,4.462193,885.7753
Germany,1954,5.8670487,885.7753
Germany,1954,12.237287,885.7753
Germany,1954,16.123976,885.7753
Germany,1954,14.560875,885.7753
Germany,1954,15.973273,885.7753
Germany,1954,13.680691,885.7753
Germany,1954,10.041294,885.7753
Germany,1954,4.0322695,885.7753
Germany,1954,3.2015052,885.7753
Germany,1955,-1.8641906,777.39703
Germany,1955,-1.9617988,777.39703
Germany,1955,0.38163495,777.39703
Germany,1955,6.898544,777.39703
Germany,1955,10.368385,777.39703
Germany,1955,14.587958,777.39703
Germany,1955,17.477322,777.39703
Germany,1955,16.959631,777.39703
Germany,1955,13.527329,777.39703
Germany,1955,7.9865947,777.39703
Germany,1955,3.7341623,777.39703
Germany,1955,2.5039997,777.39703
Germany,1956,0.21720317,854.1851
Germany,1956,-9.977055,854.1851
Germany,1956,2.9715953,854.1851
Germany,1956,5.2556653,854.1851
Germany,1956,12.558229,854.1851
Germany,1956,13.354864,854.1851
Germany,1956,17.021317,854.1851
Germany,1956,14.385477,854.1851
Germany,1956,13.840714,854.1851
Germany,1956,8.354337,854.1851
Germany,1956,2.4827905,854.1851
Germany,1956,1.9774263,854.1851
Germany,1957,0.12995388,797.4104
Germany,1957,3.9357858,797.4104
Germany,1957,6.436402,797.4104
Germany,1957,7.4999466,797.4104
Germany,1957,9.850443,797.4104
Germany,1957,16.850164,797.4104
Germany,1957,17.946112,797.4104
Germany,1957,15.374634,797.4104
Germany,1957,12.005903,797.4104
Germany,1957,9.191282,797.4104
Germany,1957,4.6764345,797.4104
Germany,1957,0.41003227,797.4104
Germany,1958,-0.42187855,911.89984
Germany,1958,1.9685285,911.89984
Germany,1958,-0.2757838,911.89984
Germany,1958,5.2576084,911.89984
Germany,1958,13.483042,911.89984
Germany,1958,14.651037,911.89984
Germany,1958,17.184416,911.89984
Germany,1958,17.151499,911.89984
Germany,1958,14.65928,911.89984
Germany,1958,9.444801,911.89984
Germany,1958,4.3220854,911.89984
Germany,1958,2.4478452,911.89984
Germany,1959,-0.11603807,589.67456
Germany,1959,-0.1487907,589.67456
Germany,1959,6.3385243,589.67456
Germany,1959,9.586491,589.67456
Germany,1959,12.792577,589.67456
Germany,1959,16.294926,589.67456
Germany,1959,19.499872,589.67456
Germany,1959,17.57298,589.67456
Germany,1959,13.898932,589.67456
Germany,1959,8.749527,589.67456
Germany,1959,3.2540476,589.67456
Germany,1959,2.2353725,589.67456
Germany,1960,0.14136857,893.7657
Germany,1960,0.5341785,893.7657
Germany,1960,4.570402,893.7657
Germany,1960,7.693809,893.7657
Germany,1960,12.976832,893.7657
Germany,1960,16.452984,893.7657
Germany,1960,15.730698,893.7657
Germany,1960,16.204678,893.7657
Germany,1960,12.882549,893.7657
Germany,1960,9.352306,893.7657
Germany,1960,6.2199135,893.7657
Germany,1960,1.2367043,893.7657
Germany,1961,-0.7250173,882.0518
Germany,1961,4.5907803,882.0518
Germany,1961,6.4889627,882.0518
Germany,1961,10.891521,882.0518
Germany,1961,10.594926,882.0518
Germany,1961,16.19181,882.0518
Germany,1961,15.542103,882.0518
Germany,1961,16.1706,882.0518
Germany,1961,16.767914,882.0518
Germany,1961,10.93163,882.0518
Germany,1961,3.8626764,882.0518
Germany,1961,-0.6178365,882.0518
Germany,1962,1.8638376,762.8355
Germany,1962,0.52421284,762.8355
Germany,1962,0.51412463,762.8355
Germany,1962,8.5614605,762.8355
Germany,1962,10.00261,762.8355
Germany,1962,14.314496,762.8355
Germany,1962,15.290988,762.8355
Germany,1962,16.310452,762.8355
Germany,1962,12.806284,762.8355
Germany,1962,9.408764,762.8355
Germany,1962,2.8068807,762.8355
Germany,1962,-3.3032885,762.8355
Germany,1963,-7.269345,723.7723
Germany,1963,-5.5733724,723.7723
Germany,1963,2.7189672,723.7723
Germany,1963,8.74365,723.7723
Germany,1963,12.186491,723.7723
Germany,1963,16.011305,723.7723
Germany,1963,18.023521,723.7723
Germany,1963,16.377838,723.7723
Germany,1963,14.223588,723.7723
Germany,1963,8.499865,723.7723
Germany,1963,7.6077867,723.7723
Germany,1963,-3.1105611,723.7723
