Country Code,countryname,Year,Real GDP per capita,Nominal GDP,Population,Inflation (%),Unemployment (%),Government expenditure (%GDP),Government revenue (%GDP)
DEU,Germany,1960,10404.326,181644.41,72.814903,1.536615,1.0,34951.934,59474.734
DEU,Germany,1961,10768.331,199046.14,73.377632,2.2936859,0.69999999,40713.309,69373.18
DEU,Germany,1962,11167.556,216489.94,74.025787,2.8432729,0.60000002,43157.031,72565.5
DEU,Germany,1963,11367.286,229445.28,74.714355,2.966959,0.69999999,46979.828,76667.648
DEU,Germany,1964,12024.808,252133.55,75.318336,2.3357351,0.60000002,50310.246,84426.82
DEU,Germany,1965,12547.893,275529.97,75.963692,3.242321,0.5,55678.41,92115.109
DEU,Germany,1966,12793.546,292967.63,76.600311,3.5330579,0.60000002,58270.207,96214.359
DEU,Germany,1967,12693.126,296640.13,76.95134,1.796049,1.7,65255.355,98068.375
DEU,Germany,1968,13353.155,320000.44,77.294312,1.4703,1.2,64704.797,103145.74
DEU,Germany,1969,14230.412,358206.31,77.909683,1.912674,0.69999999,70099.578,121181.52
DEU,Germany,1970,14906.938,405221.13,78.169289,3.4454701,0.60000002,75025.297,128458.73
DEU,Germany,1971,15345.748,449766.22,78.312843,5.2409759,0.69999999,84008.383,141502.23
DEU,Germany,1972,15929.266,490367.0,78.688454,5.4849372,0.89999998,95749.641,154678.95
DEU,Germany,1973,16637.801,546160.75,78.936668,7.0320239,1.0,108850.66,180498.83
DEU,Germany,1974,16779.35,591110.44,78.96743,6.9864297,2.2,127012.3,194032.11
DEU,Germany,1975,16696.051,619192.75,78.673553,5.9103389,4.0999999,146763.16,203344.69
DEU,Germany,1976,17597.672,671323.06,78.336952,4.2466249,4.0999999,160157.16,225214.22
DEU,Germany,1977,18227.922,715306.31,78.159813,3.7341697,4.0,171172.34,244740.61
DEU,Germany,1978,18792.656,762952.94,78.09182,2.7186918,3.8,182495.44,261818.66
DEU,Germany,1979,19563.969,828613.13,78.12635,4.0436201,3.3,194558.5,281232.41
DEU,Germany,1980,19798.482,886092.56,78.288574,5.4410543,3.359,217765.88,317806.81
DEU,Germany,1981,19872.973,927974.38,78.407906,6.3442478,4.8309999,235122.98,337468.34
DEU,Germany,1982,19813.342,966653.56,78.333366,5.2410431,6.7340002,247181.06,358797.19
DEU,Germany,1983,20177.717,1009423.1,78.128281,3.2934115,8.099,254019.63,368440.19
DEU,Germany,1984,20819.162,1058564.4,77.858688,2.4057996,8.0579996,268476.44,393531.59
DEU,Germany,1985,21351.484,1106222.3,77.684875,2.0662303,8.1239996,275945.69,413876.59
DEU,Germany,1986,21829.873,1165465.9,77.720436,-0.12941392,7.8340001,285982.53,429835.63
DEU,Germany,1987,22101.982,1196930.5,77.83992,0.24990833,7.8429999,298472.69,442032.13
DEU,Germany,1988,22831.979,1262287.5,78.144623,1.2741222,7.7350001,312189.53,454093.41
DEU,Germany,1989,23538.9,1349231.3,78.751282,2.7805655,6.79,320781.16,491967.06
DEU,Germany,1990,24563.227,1468370.3,79.433029,2.6964664,6.1550002,350931.38,524748.81
DEU,Germany,1991,25630.555,1590993.0,80.013893,4.0470338,5.5250001,672207.56,704120.75
DEU,Germany,1992,25817.674,1700513.0,80.624596,5.0569777,6.5770984,679738.31,794896.5
DEU,Germany,1993,25394.279,1749027.0,81.156364,4.4745846,7.7802329,710604.44,802685.31
DEU,Germany,1994,25931.156,1828941.0,81.438347,2.6930506,8.4309187,722553.69,863042.5
DEU,Germany,1995,26270.654,1895229.0,81.678055,1.7061644,8.2328291,1044594.2,865831.81
DEU,Germany,1996,26417.658,1922645.0,81.914833,1.2430532,8.9030409,950153.13,881507.0
DEU,Germany,1997,26870.148,1963875.0,82.034775,1.5074824,9.637372,953821.5,896042.31
DEU,Germany,1998,27348.623,2012733.0,82.047195,0.59620595,9.3803768,969035.81,917371.06
DEU,Germany,1999,27808.938,2055002.0,82.100243,0.64655173,8.5630674,990759.06,955429.06
DEU,Germany,2000,28642.887,2109355.0,82.21151,1.4132762,7.946569,1007380.6,973954.38
DEU,Germany,2001,29111.91,2175410.0,82.349922,1.9003378,7.798964,1031497.9,965682.0
DEU,Germany,2002,29015.686,2201851.0,82.488495,1.3261501,8.6089764,1054060.1,968738.5
DEU,Germany,2003,28792.713,2215062.0,82.53418,1.0736196,9.6945801,1069967.8,987917.44
DEU,Germany,2004,29001.699,2255351.0,82.516258,1.7804755,10.330718,1055312.5,980115.56
DEU,Germany,2005,29280.18,2285104.0,82.469421,1.9282378,11.033508,1069903.9,994051.38
DEU,Germany,2006,30485.148,2385953.0,82.37645,1.774744,10.061792,1079292.9,1039849.5
DEU,Germany,2007,31468.115,2503000.0,82.266373,2.2707675,8.5766983,1086245.3,1092775.3
DEU,Germany,2008,31744.479,2543133.0,82.1101,2.7543564,7.381187,1124052.3,1121093.1
DEU,Germany,2009,30029.301,2443805.0,81.902306,0.24617068,7.3000002,1177922.1,1100929.8
DEU,Germany,2010,31291.648,2558935.0,81.776932,1.1186904,6.5999999,1231913.0,1119866.4
DEU,Germany,2011,33149.176,2689838.0,80.274986,2.482461,5.5,1216840.3,1193132.0
DEU,Germany,2012,33291.543,2746773.0,80.425819,2.1590312,5.0999999,1233795.1,1234051.3
DEU,Germany,2013,33383.184,2816098.0,80.645607,1.6065292,5.0,1265678.0,1266803.9
DEU,Germany,2014,33977.637,2932023.0,80.982498,0.76942587,4.6999998,1298974.9,1315967.5
DEU,Germany,2015,34102.879,3023553.0,81.686607,0.67964423,4.4000001,1334629.4,1363672.1
DEU,Germany,2016,34553.25,3129374.0,82.348671,0.36669722,3.9000001,1387994.0,1424305.8
DEU,Germany,2017,35451.473,3271307.0,82.657005,1.7022337,3.5999999,1445105.0,1488812.4
DEU,Germany,2018,35699.887,3370332.0,82.905785,1.9350098,3.2,1493764.8,1559483.0
DEU,Germany,2019,36012.891,3480297.0,83.092964,1.3536243,3.0,1566222.3,1619340.8
DEU,Germany,2020,34473.098,3396718.0,83.160873,0.37142405,3.7,1714044.6,1566650.9
DEU,Germany,2021,35535.105,3608303.0,83.196075,3.2123456,3.5999999,1837943.9,1708530.9
DEU,Germany,2022,35943.637,3870180.0,83.797981,8.665802,3.0574169,1914862.6,1818118.4
DEU,Germany,2023,36127.863,4122311.0,83.279999,6.0301862,3.0134664,2003429.1,1901853.6
DEU,Germany,2024,36599.906,4274980.0,82.377838,2.41189,3.1452932,2059931.1,1979276.8
DEU,Germany,2025,36931.059,4397394.0,82.548592,2.1612217,3.0217795,2142777.5,2073349.5
DEU,Germany,2026,37362.434,4555984.5,82.687912,1.9525673,1.7736557,2204037.8,2162235.5
DEU,Germany,2027,37881.941,4698991.0,82.490112,1.952467,2.9820001,2275685.8,2241230.5
DEU,Germany,2028,38294.965,4834187.5,82.29229,1.9516784,2.9619999,2342867.8,2314909.0
DEU,Germany,2029,38672.73,4968690.5,82.094475,1.9796263,2.967,2405045.3,2388065.0
DEU,Germany,2030,,,81.89666,,,,
ESP,Spain,1960,5593.0903,4520.9194,30.455,1.177758,0.94768345,523.33508,748.65668
ESP,Spain,1961,6236.144,5174.0303,30.73925,0.80925798,0.93388218,488.29303,889.15619
ESP,Spain,1962,6797.3076,5992.3232,31.023367,5.706481,0.61777288,637.9505,1048.345
ESP,Spain,1963,7374.8701,7069.23,31.296652,8.7436981,0.77274054,831.35315,1171.8049
ESP,Spain,1964,7686.7358,7992.3999,31.609196,6.9792528,1.085499,852.91962,1305.9078
ESP,Spain,1965,8079.2109,9271.1025,31.954292,13.21413,1.0040058,1078.3242,1655.0016
ESP,Spain,1966,8576.3496,10755.211,32.283195,6.2403698,0.8447063,1372.6023,2063.6963
ESP,Spain,1967,8839.1387,12179.153,32.682945,6.391633,1.15276,1546.5256,2361.7031
ESP,Spain,1968,9299.8389,13749.955,33.113132,4.9543648,1.1488147,1793.4966,2607.5586
ESP,Spain,1969,10028.91,15743.756,33.441055,2.160347,0.95249248,2056.4685,3063.0833
ESP,Spain,1970,10339.231,17387.922,33.814529,5.7576199,0.99256748,2295.0913,3483.4856
ESP,Spain,1971,10690.05,19616.295,34.224491,8.2368765,1.2981932,2902.4314,4015.6401
ESP,Spain,1972,11434.245,23021.672,34.604469,8.272296,1.0908996,3156.3591,4722.3418
ESP,Spain,1973,12190.133,27769.361,34.988949,11.416707,0.98802632,3852.0042,5762.3647
ESP,Spain,1974,12734.908,34007.484,35.373337,15.680374,1.1771579,4776.5894,7010.8071
ESP,Spain,1975,12666.207,39926.227,35.7579,16.953287,1.6841034,5913.5015,8706.5576
ESP,Spain,1976,12947.164,48046.234,36.137814,17.624882,1.8274487,7240.4175,10351.067
ESP,Spain,1977,13178.449,60956.25,36.511639,24.538044,4.3194742,10018.326,14369.906
