City,Year,Annual_GDD
Changchun,2005,1413.25
Changchun,2006,1483.72
Changchun,2007,1589.72
Changchun,2008,1488.96
Changchun,2009,1423.32
Changchun,2010,1466.7
Changchun,2011,1428.48
Changchun,2012,1493.71
Changchun,2013,1435.62
Changchun,2014,1515.0
Changchun,2015,1591.09
Changchun,2016,1510.22
Changchun,2017,1464.66
Changchun,2018,1618.99
Changchun,2019,1548.56
Changchun,2020,1522.42
Changchun,2021,1471.94
Changchun,2022,1400.32
Changchun,2023,1553.7
Harbin,2005,1351.42
Harbin,2006,1455.2
Harbin,2007,1563.37
Harbin,2008,1512.94
Harbin,2009,1296.19
Harbin,2010,1494.76
Harbin,2011,1375.56
Harbin,2012,1436.28
Harbin,2013,1353.72
Harbin,2014,1451.47
Harbin,2015,1493.14
Harbin,2016,1449.71
Harbin,2017,1449.9
Harbin,2018,1477.91
Harbin,2019,1373.36
Harbin,2020,1349.66
Harbin,2021,1368.82
Harbin,2022,1347.9
Harbin,2023,1468.26
Shenyang,2005,1702.14
Shenyang,2006,1848.77
Shenyang,2007,1941.73
Shenyang,2008,1825.19
Shenyang,2009,1846.63
Shenyang,2010,1712.08
Shenyang,2011,1719.22
Shenyang,2012,1734.48
Shenyang,2013,1784.3
Shenyang,2014,1930.72
Shenyang,2015,1929.95
Shenyang,2016,1856.98
Shenyang,2017,1952.38
Shenyang,2018,2041.43
Shenyang,2019,1908.31
Shenyang,2020,1803.92
Shenyang,2021,1698.79
Shenyang,2022,1649.22
Shenyang,2023,1854.34
