indicator,province,n_obs,coef_gdd,pval_gdd,r_squared
粮食单位面积产量(公斤/公顷),Heilongjiang,19,0.00565342343719277,,1.0
粮食单位面积产量(公斤/公顷),Jilin,19,0.005667863642621144,,1.0
粮食单位面积产量(公斤/公顷),Liaoning,19,0.004382487036494449,,1.0
谷物单位面积产量(公斤/公顷),Heilongjiang,19,0.00582512626612544,,1.0
谷物单位面积产量(公斤/公顷),Jilin,19,0.005705758332614955,,1.0
谷物单位面积产量(公斤/公顷),Liaoning,19,0.004379972720569362,,1.0
烤烟单位面积产量(公斤/公顷),Heilongjiang,19,0.005290948294104137,,1.0
烤烟单位面积产量(公斤/公顷),Jilin,19,0.005009961361004596,,1.0
烤烟单位面积产量(公斤/公顷),Liaoning,19,0.00407570616205358,,1.0
甜菜单位面积产量(公斤/公顷),Heilongjiang,19,0.006989389270570827,,1.0
甜菜单位面积产量(公斤/公顷),Jilin,19,0.006686225173559058,,1.0
甜菜单位面积产量(公斤/公顷),Liaoning,19,0.0054678363155653276,,1.0
秋粮单位面积产量(公斤/公顷),Heilongjiang,18,0.005669144355191757,,1.0
秋粮单位面积产量(公斤/公顷),Jilin,18,0.005707648402426063,,1.0
秋粮单位面积产量(公斤/公顷),Liaoning,18,0.004401921693472151,,1.0
小麦单位面积产量(公斤/公顷),Heilongjiang,18,0.0054722276887075065,,1.0
小麦单位面积产量(公斤/公顷),Jilin,16,0.005057489150821723,,1.0
小麦单位面积产量(公斤/公顷),Liaoning,18,0.004301025805059126,,1.0
玉米单位面积产量(公斤/公顷),Heilongjiang,18,0.005774730955347854,,1.0
玉米单位面积产量(公斤/公顷),Jilin,18,0.005744197853471523,,1.0
玉米单位面积产量(公斤/公顷),Liaoning,18,0.0043753072656049835,,1.0
谷子单位面积产量(公斤/公顷),Heilongjiang,18,0.005346730755237893,,1.0
谷子单位面积产量(公斤/公顷),Jilin,18,0.005231341310075976,,1.0
谷子单位面积产量(公斤/公顷),Liaoning,18,0.00402738806498228,,1.0
高粱单位面积产量(公斤/公顷),Heilongjiang,18,0.0056948707841918186,,1.0
高粱单位面积产量(公斤/公顷),Jilin,18,0.005524190006931152,,1.0
高粱单位面积产量(公斤/公顷),Liaoning,18,0.004317271173524777,,1.0
豆类单位面积产量(公斤/公顷),Heilongjiang,18,0.004971621393015477,,1.0
豆类单位面积产量(公斤/公顷),Jilin,18,0.00486171517420916,,1.0
豆类单位面积产量(公斤/公顷),Liaoning,18,0.00397647323051489,,1.0
薯类单位面积产量(公斤/公顷),Heilongjiang,18,0.005561534754933709,,1.0
薯类单位面积产量(公斤/公顷),Jilin,18,0.0055961847345868745,,1.0
薯类单位面积产量(公斤/公顷),Liaoning,18,0.004352456068116187,,1.0
油料单位面积产量(公斤/公顷),Heilongjiang,18,0.005004575913972055,,1.0
油料单位面积产量(公斤/公顷),Jilin,18,0.005100394140963722,,1.0
油料单位面积产量(公斤/公顷),Liaoning,18,0.004023934635468828,,1.0
麻类单位面积产量(公斤/公顷),Heilongjiang,18,0.005749346489051505,,1.0
麻类单位面积产量(公斤/公顷),Jilin,15,0.005133095394471482,,1.0
麻类单位面积产量(公斤/公顷),Liaoning,15,0.0044234275430685924,,1.0
烟叶单位面积产量(公斤/公顷),Heilongjiang,18,0.0052807978806357295,,1.0
烟叶单位面积产量(公斤/公顷),Jilin,18,0.005154660679965879,,1.0
烟叶单位面积产量(公斤/公顷),Liaoning,18,0.004085720777587849,,1.0
糖料单位面积产量(公斤/公顷),Heilongjiang,18,0.006971898024509209,,1.0
糖料单位面积产量(公斤/公顷),Jilin,18,0.006702442100238287,,1.0
糖料单位面积产量(公斤/公顷),Liaoning,18,0.005471044928771583,,1.0
蔬菜单位面积产量(公斤/公顷),Heilongjiang,18,0.0070796902726161515,,1.0
蔬菜单位面积产量(公斤/公顷),Jilin,18,0.00692001676578304,,1.0
蔬菜单位面积产量(公斤/公顷),Liaoning,18,0.00558129686149742,,1.0
棉花单位面积产量(公斤/公顷),Liaoning,15,0.0038939577457552084,,1.0
其他谷物单位面积产量(公斤/公顷),Heilongjiang,14,0.005562942220383272,,1.0
其他谷物单位面积产量(公斤/公顷),Jilin,13,0.004963559840596162,,1.0
其他谷物单位面积产量(公斤/公顷),Liaoning,14,0.003953396648239949,,1.0
大麦单位面积产量(公斤/公顷),Heilongjiang,11,0.005679893381049636,,1.0
