Year,Beef and veal,Cashew nuts,Coffee,Eggs,Maize,Natural Rubber,Pepper,Pigmeat,Poultry,Rice,Sugar cane,Tea
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1262831.52728428,-890206.014614497,-2053574.20283612,2211492.49764821,1019391.53090146,-195094.567153643,54148.4869067759,-564118.758584011,2330294.7503507,11708376.6633238,1510168.26000955,-966083.636975747
2001,821839.927751357,-340748.534572589,-327953.72505733,2521369.62117822,499458.335025805,-413003.991751585,-63106.6016729581,-322052.599452916,3223416.06957131,15043142.7941652,678484.284342816,-978364.491091238
2002,673349.700480678,-1341222.89038865,-2068191.49235101,3270897.4062425,-320745.766475192,-63069.7826851313,-180388.408418854,233363.499304663,4900261.28326101,-5996661.56281649,172896.363489922,-1629287.09507211
2003,343712.228040694,-835006.862451013,-3398196.59274988,3725324.91676571,656484.980155724,-554761.370965522,-140685.285498932,-425017.906704689,4514695.13909858,14806289.1259429,986670.142572945,-1494778.81852651
2004,-282468.337195057,-2030667.6689955,-696309.837853717,3004582.34025543,1304743.81724528,-1161869.67522003,44333.4524320189,-716495.482698874,3543790.66474766,15102073.0743323,1573885.23410465,-272692.095106389
2005,-216108.529435602,-2344746.80092211,2975640.72879759,3521876.25429445,2292417.65300575,-1866509.37880076,57613.8404022539,-1183591.77594634,3301003.88346486,16482452.2590199,2579941.01144376,-488739.348238362
2006,193312.174203407,202638.110043692,-339126.540935528,3963030.23182166,1131062.55421195,-4041058.22123728,-470682.249802335,-548872.044048165,3922582.5405015,10926732.1134162,6196482.19145199,-801795.735461572
2007,549347.708608036,-2693037.66751183,-5415332.73300797,4560728.04812829,145750.934306446,-3871306.8168783,-369080.602102543,6809.64873081462,4417140.40048158,-8836703.00834875,4474006.06096585,-1100951.505
2008,2315562.22217502,-7050625.48759433,-16101163.2926141,5941455.95049257,5148572.01896951,-6605972.22928561,-678934.471435464,-1813364.67124545,2599221.37339125,-124610240.502069,5507134.28006729,-2551838.27724104
2009,5340723.61209666,-4109221.08517639,-6391888.51548313,5583961.36350826,4759874.8973372,-4555195.35584097,-745663.833857469,-2763983.19195688,1558573.69335393,51869007.5571744,6470661.05017845,-1500845.10139504
2010,3674907.8519076,-7347492.74040595,-5458766.39882145,4096326.47931956,7102371.61315002,-13655913.7500069,-216850.912303273,-3945211.24213921,1256580.96392862,41247087.7407622,10770770.6586789,-2413904.41150076
