,"Value of U.S. agricultural exports by level of processing for bulk and high-value products, by fiscal year ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,,High-value products1,,
1,,Total exports,Bulk1,,Total,Raw,Semi-processed,Processed
2,,U.S. dollars,U.S. dollars,,U.S. dollars,U.S. dollars,U.S. dollars,U.S. dollars
3,1990,45347577812,21211260303,,24136317509,4579502817,6694329991,12862484701
4,1991,43458610595,17147459034,,26311151561,5327042721,6387305153,14596803687
5,1992,47156292395,18987461701,,28168830694,5765639170,7054211418,15348980106
6,1993,47934159931,18542250197,,29391909734,5613939194,6924848000,16853122540
7,1994,49495115205,17370452054,,32124663151,6104748959,7270896710,18749017482
8,1995,60958249932,23805060113,,37153189819,6403602288,9157514857,21592072674
9,1996,65873415365,28200378140,,37673037225,6631090052,8522373992,22519573181
10,1997,63068094342,23684272305,,39383822037,6912468099,9536419379,22934934559
11,1998,59400921997,20309111626,,39091810371,6746403628,9546654948,22798751795
12,1999,53754556403,18014555177,,35740001226,6474474764,8064496861,21201029601
13,2000,55294263958,17974287801,,37319976157,6764383550,7929387217,22626205390
14,2001,56700984968,17864565211,,38836419757,7141494505,8947295911,22747629341
15,2002,55964320061,18492046591,,37472273470,7318956651,9229191069,20924125750
16,2003,58662311485,20685612196,,37976699289,7369954749,8806273090,21800471450
17,2004,64896334431,26318254051,,38578080380,8095716622,8907630835,21574732923
18,2005,64858836972,22991164143,,41867672829,9398198952,9242380943,23227092934
19,2006,71231140014,24905331639,,46325808375,10445976791,10152166616,25727664968
20,2007,85227071674,32069307244,,53157764430,11136772342,12169622820,29851369268
21,2008,117951433143,51244777524,,66706655619,12907802008,17156942643,36641910968
22,2009,98644404690,37263843125,,61380561565,12879859712,14557024414,33943677439
23,2010,111238753927,41418545080,,69820208847,14075335105,18022128320,37722745422
24,2011,142089603594,58652510923,,83437092671,16257551260,20500125509,46679415902
25,2012,141199753451,50023397086,,91176356365,17979945283,20906852419,52289558663
26,2013,145082220916,46968823328,,98113397588,20074462153,24126025579,53912909856
27,2014,156849012504,53214774678,,103634237826,21112017587,24491666103,58030554136
28,2015,144067923765,46582031296,,97485892469,21267449766,22054647127,54163795576
29,2016,133718758167,43233471405,,90485286762,19780976950,19289301176,51415008636
30,2017,144780787996,49916952272,,94863835724,20851674788,19271779928,54740381008
31,2018,148619972245,48855709518,,99764262727,21670019656,20599323469,57494919602
32,2019,140093712398,41867798498,,98225913900,21725414454,19163280100,57337219346
33,2020,139724153422,42081680788,,97642472634,20888787604,19737982891,57015702139
34,2021,171832633354,62693968147,,109138665207,21862590380,23467987033,63808087794
35,2022,196054947115,75008228127,,121046718988,22562066888,26813042610,71671609490
36,2023,178183697520,62822639535,,115361057985,20989225571,24320891439,70050940975
37,2024,174428419723,54351384783,,120077034940,23726206319,23358148576,72992680045
38,1Category definitions: ,,,,,,,
39,"Bulk: Grains, oilseeds, cotton, and tobacco.",,,,,,,
40,"HVP: High-value products are divided into three groups: Raw, semi-processed, and processed.",,,,,,,
41,"  HVP raw: Live animals, fresh fruits and vegetables, nuts, and nursery products.",,,,,,,
42,"  HVP semi-processed: Fats, hides, feeds, fibers, flour, meals, oils, and sugar.",,,,,,,
43,"  HVP processed: Meat, milk, grain products, processed fruits and vegetables, juice, wine, nonalcoholic beverages, essential oils, and products of tropical commodities.",,,,,,,
44,"Source: USDA, Economic Research Service, based on data from U.S. Department of Commerce, Bureau of the Census.",,,,,,,
45,Updated 12/20/2024.,,,,,,,
46,,,,,,,,
47,,,,,,,,
48, ,,,,,,,
