,"Value of U.S. agricultural imports by level of processing for bulk and high-value products, by fiscal year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,,High-value products1,,
1,,Total imports,Bulk1,,Total,Raw,Semi-processed,Processed
2,,U.S. dollars,U.S. dollars,,U.S. dollars,U.S. dollars,U.S. dollars,U.S. dollars
3,1990,23816495881,1026222625,,22790273256,5123467762,2570999845,15095805649
4,1991,23818999687,1111252746,,22707746941,5333422128,2564020721,14810304092
5,1992,25843622061,1840130757,,24003491304,5511538132,2761471275,15730481897
6,1993,25919551202,1608199844,,24311351358,6243521526,2738881072,15328948760
7,1994,27907248012,1979310156,,25927937856,6231614436,3021806510,16674516910
8,1995,30479531390,1449525891,,29030005499,7154819241,3535933336,18339252922
9,1996,33420700689,1964181075,,31456519614,7721996172,4287147901,19447375541
10,1997,37191551707,2494100767,,34697450940,7948072188,4418027079,22331351673
11,1998,38832490737,1936348286,,36896142451,9025563892,4182903513,23687675046
12,1999,39740959959,1871186211,,37869773748,9297887139,3737050608,24834836001
13,2000,41646121507,1541825327,,40104296180,9745516675,3773460127,26585319378
14,2001,42214418581,1569891729,,40644526852,10623480586,3600649812,26420396454
15,2002,44457311966,1675377411,,42781934555,10577119827,3604725342,28600089386
16,2003,49114402248,1532207944,,47582194304,11103811704,4113503947,32364878653
17,2004,56126740980,1701946779,,54424794201,11739707763,5068732136,37616354302
18,2005,61566894853,1572299693,,59994595160,13340671041,5081129329,41572794790
19,2006,68868184047,1926262016,,66941922031,15367818767,6393982349,45180120915
20,2007,75171021632,2573129601,,72597892031,16874297553,6540223135,49183371343
21,2008,84227055737,4090297940,,80136757797,17971555074,9331541070,52833661653
22,2009,78241354309,3409092219,,74832262090,16970472264,8378026264,49483763562
23,2010,82934257772,2887071485,,80047186287,19075235499,9153116922,51818833866
24,2011,97464705068,3129385158,,94335319910,20761314212,12948701816,60625303882
25,2012,108342073702,4024742169,,104317331533,22476365996,13881693939,67959271598
26,2013,111001676791,5542562981,,105459113810,24437026542,13246596917,67775490351
27,2014,115888195470,5578685448,,110309510022,26278256854,13831100136,70200153032
28,2015,121611466710,4236258030,,117375208680,28251386741,13772389324,75351432615
29,2016,121083455740,3615553749,,117467901991,29733684474,13504809199,74229408318
30,2017,127150993448,3416463895,,123734529553,31193306931,14632431428,77908791194
31,2018,136477563269,3783106395,,132694456874,32713376402,15446864515,84534215957
32,2019,141436704887,3402202050,,138034502837,34222810607,14533725361,89277966869
33,2020,143402657062,3537191863,,139865465199,34995961726,15507064192,89362439281
34,2021,163321690214,3316145382,,160005544832,38722757105,18710288843,102572498884
35,2022,194137500777,4540133775,,189597367002,43437256383,25630393770,120529716849
36,2023,195333657355,4889598946,,190444058409,44201380815,26786990485,119455687109
37,2024,206207275626,4426027381,,201781248245,47324853042,28605092252,125851302951
38,1Category definitions: ,,,,,,,
39,"Bulk: Grains, oilseeds, cotton, and tobacco.",,,,,,,
40,"HVP: High-value products are divided into three groups: Raw, semi-processed, and processed.",,,,,,,
41,"  HVP raw: Live animals, fresh fruits and vegetables, nuts, and nursery products.",,,,,,,
42,"  HVP semi-processed: Fats, hides, feeds, fibers, flour, meals, oils, and sugar.",,,,,,,
43,"  HVP processed: Meat, milk, grain products, processed fruits and vegetables, beverages, essential oils, and products of tropical commodities.",,,,,,,
44,"Source: USDA, Economic Research Service, based on data from U.S. Department of Commerce, Bureau of the Census.",,,,,,,
45,Updated 12/20/2024.,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49, ,,,,,,,
