指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
粮食单位面积产量(公斤/公顷),5282.62,5287.08,5406.89,5222.73,5232.92,5281.07,5235.41,5221.96,5332.03,5300.48,5196.92,4994.31,4841.89,4526.17,3950.61,4032.81,3471.27,3651.53,3574.24
夏收粮食单位面积产量(公斤/公顷),,,,,,,,,,,,,,,,,,,
秋粮单位面积产量(公斤/公顷),,5287.08,5406.89,5222.73,5232.92,5281.07,5235.41,5221.96,5332.03,5300.48,5196.92,4994.31,4841.89,4526.17,3950.61,4032.81,3471.27,3651.53,3574.24
谷物单位面积产量(公斤/公顷),7003.32,7047.32,6770.05,6968.29,6786.28,6543.14,6605.47,6351.23,6182,6257,6133.22,5981.99,6124.96,5971.56,5471.44,5718.36,5013.21,5283.94,5384.12
小麦单位面积产量(公斤/公顷),,3941.08,3906.15,3839.39,3643.14,3306.56,3741.62,3639.24,3065.19,3198.64,2923.25,3333.32,3485.44,3303.41,3968.61,3747.91,2952.36,3819.77,3782.7
玉米单位面积产量(公斤/公顷),,6764.32,6359.72,6653.58,6706.5,6303.05,6316.27,5993.5,5814.57,5857.56,5683.66,5382.88,5652.09,5285.16,4614.32,4976.16,3921.01,4589.83,4697.32
谷子单位面积产量(公斤/公顷),,3185.15,3403.99,3090.56,3425.1,3550.64,3986.58,3971.13,3923.56,3807.16,3531.77,3464.44,3408.42,3516.3,2111.08,1644.74,1666.67,2116.56,1784.78
高粱单位面积产量(公斤/公顷),,5066.59,4864.88,4836.34,5383.3,4993.48,6296.07,6109.75,4578.67,6301.35,4771.86,4507.03,4518.53,6443.54,6023.25,5447.07,3053.09,3373.73,3593.31
其他谷物单位面积产量(公斤/公顷),,,,,,3171.67,3832.38,3724.9,3393.47,3457.02,3543.66,2655.87,4103.17,5926.16,4167.52,4923.11,3620.41,3882.12,3795.05
大麦单位面积产量(公斤/公顷),,,,,,3471.25,3975.74,,,,3381.63,2700,2621.72,3778.34,4426.47,5223.79,4047.62,4593.74,3739
豆类单位面积产量(公斤/公顷),,1923,1833.25,1890.23,1803.5,1813.25,1807.12,1718.48,1838.47,1818.01,1706.23,1812.26,1764.12,1598.68,1449.27,1506.04,1112.84,1515.71,1686.51
薯类单位面积产量(公斤/公顷),,5018.26,4774.49,4585.29,4594.79,5037.8,4888.26,4846.77,5168.15,4034.66,3840.75,3496.31,3232.28,3193.86,3126.97,2415.95,3205.1,5058.1,2899.37
棉花单位面积产量(公斤/公顷),,,,,,,,,,,,0,0,0,0,0,0,0,0
油料单位面积产量(公斤/公顷),,3598.15,3308.33,2951.13,2234.32,2176.65,1868.32,1676.74,1938.44,1965.12,1947.12,1919.18,1566.42,1647.07,1387.02,1302.27,1362.24,1465.97,1476.66
麻类单位面积产量(公斤/公顷),,7160.52,6959.48,6040.05,5800.71,6278.69,6110.02,5641.8,6541.64,7560,7291.7,5585.71,4507.75,4041.26,3872.38,3980.5,3524.73,5286.33,4266.54
烟叶单位面积产量(公斤/公顷),,2768.37,2797.78,2695.4,2599.06,2822.21,3107.7,2639.23,2737.27,2546.74,2514.02,2551.03,2439.11,2561.58,2221.28,2340.23,2158.84,2947.37,1746.26
烤烟单位面积产量(公斤/公顷),2723.9,2773.78,2794.82,2721.27,2610.43,2830.8,3127.36,2666.48,2677.54,2541.07,2511.47,2623.21,2440.42,2621.76,2264.6,2387.51,2429.08,3290.58,1849.99
糖料单位面积产量(公斤/公顷),,51702.84,46917.11,45627.98,46773.34,43995.72,39958,34932.57,35540.94,40098.74,31932.47,37439.01,33526.34,22476.24,17222.48,28761.06,26358.89,18448.28,19264.23
甘蔗单位面积产量(公斤/公顷),,,,,,,,,,,,0,0,0,0,0,0,0,0
甜菜单位面积产量(公斤/公顷),58859.74,51702.84,46917.11,45627.98,46773.34,43995.72,39958,34932.57,35540.94,40098.74,31932.47,37439.01,33526.34,22476.24,17222.48,28761.06,26358.89,18448.28,19264.23
蔬菜单位面积产量(公斤/公顷),,46661.52,46090.95,44253.31,44569.53,39277.74,38890.92,38810.65,32923.04,32940.58,35613.57,34677.39,35402.29,39236.07,37377.14,36770.94,36357.56,36234,34600.51
