指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
粮食单位面积产量(公斤/公顷),7186.38,7053.91,7060.07,6693.61,6869.76,6487.36,7492.83,7489.01,7181.12,7021.87,7332.95,7053.84,6780.34,5967.2,5436.14,6358.37,5450.66,6433.93,6010.5
夏收粮食单位面积产量(公斤/公顷),,,,,,,,,,,,,,,,,,,
秋粮单位面积产量(公斤/公顷),,7053.91,7060.07,6693.61,6869.76,6487.36,7492.83,7489.01,7181.12,7021.87,7332.95,7053.84,6780.34,5967.2,5436.14,6358.37,5450.66,6433.93,6010.5
谷物单位面积产量(公斤/公顷),7533.19,7399.25,7363.4,7053.31,7257.18,6782.94,7847.95,7806.57,7510.6,7437.73,7793.81,7530.22,7349.06,6466.96,6105.54,7205.21,6137.77,6767.52,6618.53
小麦单位面积产量(公斤/公顷),,3222.43,3631.65,3513.75,3775.51,326.11,,3703.7,3846.15,3888.89,,3084.11,4213.84,3463.69,2439.02,3140.35,2875.7,2727.27,2821.05
玉米单位面积产量(公斤/公顷),,7289.25,7267.15,6935.55,7217.02,6616.8,7806.85,7747.06,7383.5,7394.63,7827.69,7682.07,7163.45,6204.35,5955.61,7127.46,6168.97,7071.55,6488.61
谷子单位面积产量(公斤/公顷),,3911.36,3690,3667.94,3622.38,4150.02,4846.2,4740.83,4304.34,4281.52,6024.84,5395.53,2913.7,3206.9,1677.97,1269.47,867.33,3973.81,3336.07
高粱单位面积产量(公斤/公顷),,6909.14,6742.05,6304.8,5994.8,7024.38,7281.3,7207.97,8346.65,7316.65,7426.09,4121.18,4010.52,2966.97,2432.02,2764.99,2085.08,2017.07,7745.31
其他谷物单位面积产量(公斤/公顷),,,,,,1950.26,2737.76,2742.69,896.17,1000,,3675.97,2663.83,2426.96,1426.81,3092.11,703.67,3256.75,3136.61
大麦单位面积产量(公斤/公顷),,,,,,,,,,,,,1818.18,2000,,,,0,
豆类单位面积产量(公斤/公顷),,2140.79,2006.51,1849.66,1907.78,1826.68,2039.03,1910.54,1654.5,1507.35,1686.76,1424.04,2116.75,1977.83,1694.92,1710.64,1573.26,3720.77,2414.76
薯类单位面积产量(公斤/公顷),,6230.64,5840.55,7161.29,6687.94,7807.07,6916.43,6784.62,6823.45,6102.37,6016.09,8728.07,6341.5,8394.21,2783.82,3056.3,2462.62,2621.72,7079.29
棉花单位面积产量(公斤/公顷),,,,,,,,,,1650.73,1848.01,1918.99,1812.29,1565.7,1229.13,2216.9,943.4,0,1665.05
油料单位面积产量(公斤/公顷),,3650.38,3367.91,3175.82,3177.62,3117.13,3143.96,2802.41,2839.32,3218.16,3037.9,3028.03,2838.45,2324.31,2074.44,2441.6,1180,2027.82,1887.59
麻类单位面积产量(公斤/公顷),,,,1560,4228.07,,1937.5,2000,2000,1000,3000,1007.14,796,709.1,1001.93,3581.29,3571.45,3189.47,3784.47
烟叶单位面积产量(公斤/公顷),,2656.81,2619.67,2616.42,2863.62,2750.86,2868.76,2729.31,2850.71,2620.64,2692.76,3244.95,3249.44,3011.4,2845.08,2965.5,2903.5,2965.46,2643.73
烤烟单位面积产量(公斤/公顷),2331.7,2274.49,2155.44,2142.35,2545.51,2532.59,2632.35,2515.6,2615.48,2672.25,2509.71,2673.8,2745.12,2289.4,2683.17,2352.03,1777.4,2392.48,1976.34
糖料单位面积产量(公斤/公顷),,45364.48,44638.54,37936.01,33547.76,39503.91,38245.18,47908.47,23440.43,34174.73,27261.21,31442.94,32481.84,23479.1,28130.73,34192.9,17857.1,24836.6,26350.9
甘蔗单位面积产量(公斤/公顷),,,,,,,,,,,,0,0,0,0,0,0,0,0
甜菜单位面积产量(公斤/公顷),52401.32,45364.48,44638.54,37936.01,33547.76,39503.91,38245.18,47908.47,23440.43,34174.73,27261.21,31442.94,32481.84,23479.1,28130.73,34192.9,17857.1,24836.6,26350.9
蔬菜单位面积产量(公斤/公顷),,37131.54,37539.91,36705.88,36672.15,39510.36,43051.16,43196.13,43958.09,42296.82,44124.3,40660.76,41961.2,59134.99,60561.13,58837.53,53660.72,34007.77,39727
