指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
粮食单位面积产量(公斤/公顷),7163.55,6976.08,7164.39,6630.93,6965.16,6292.84,6721.71,6587.83,6065.08,5382.26,6896.33,6474.28,6435.48,5562.86,5125.01,6169.64,5880.96,5816.06,5720.18
夏收粮食单位面积产量(公斤/公顷),,,,,,,,,,,,,,,,,,5444.6,5006.45
秋粮单位面积产量(公斤/公顷),,6976.08,7164.39,6630.93,6965.16,6292.84,6721.71,6587.83,6065.08,5382.26,6896.33,6474.28,6435.48,5562.86,5125.01,6169.64,5880.96,5824.95,5738.78
谷物单位面积产量(公斤/公顷),7392.9,7189.01,7376.8,6828.41,7192.05,6437.59,6869.51,6732.55,6138.12,5431.68,7047.72,6619.16,6556.02,5681.5,5317.83,6433.78,6071.84,6024.15,6314.13
小麦单位面积产量(公斤/公顷),,4085.84,3989.35,5410.77,5775,5749.5,3516.38,3793.1,4655.17,4827.59,4857.14,4705.88,5362.32,4933.33,5113.64,4757.28,4274.19,3875,3542.6
玉米单位面积产量(公斤/公顷),,7103.57,7372.5,6645.59,7044.59,6129,6647.31,6488.2,5807.27,5023.45,6961.17,6450.81,6372.62,5496.89,4903.52,6308.03,5843.09,6109.14,6334.73
谷子单位面积产量(公斤/公顷),,3719.39,3638.85,2813.56,3855,3364.65,3676.5,3535.75,3109.3,2809.62,3188.74,3173.08,3480.31,3216.15,1727.69,2680.68,2822.38,2162,3016.57
高粱单位面积产量(公斤/公顷),,5649.2,5546.88,4607.07,6372.75,7517.55,6821.97,5821.1,5619.91,5026.98,6258.76,5968.69,6162.99,4985.84,2405.46,4387.9,4547.59,4281.53,5577.26
其他谷物单位面积产量(公斤/公顷),,,,,,1775.85,3031.38,2721.46,2452.36,2752.02,2754.45,2949.12,4949.49,2358.08,1538.46,2246.58,1975.31,2049.75,2384.26
大麦单位面积产量(公斤/公顷),,,,,,,,,,,,,,,,,,,
豆类单位面积产量(公斤/公顷),,2314.38,2371.73,2204.51,2445.67,2414.88,2468.37,2046.66,2371.77,2190.56,2339.82,2449.12,2587.18,2456.29,1745.75,2590.19,2387.99,2677.79,1480.48
薯类单位面积产量(公斤/公顷),,4250.49,4346.31,4445.54,3410.33,4535.63,5351.89,4990.13,5804.22,6249.96,5273.06,5307.69,6821.52,5566.25,4540.49,5122.09,5277.83,4658.36,3273.44
棉花单位面积产量(公斤/公顷),,900,,2000,2200,2291.67,,1354.84,,1553.57,2600,2090.09,1958.76,1798.68,970.59,1410.56,1501.86,1307.19,958.93
油料单位面积产量(公斤/公顷),,3640.61,3469.93,3218.84,3327.77,2685.31,2925.97,2854.53,2303.79,2317.9,2802.62,2800.55,2784.58,2620.75,2079.03,2747.57,2589.78,2411.52,1812.15
麻类单位面积产量(公斤/公顷),,,,,1600,4500,2838.93,6345.28,6345.28,6345.28,6345.28,6345.28,6345.28,6345.28,6265.8,6151.72,6128.82,1200,1140
烟叶单位面积产量(公斤/公顷),,2758,2672.24,3003.02,2700.89,2772.39,3280.18,3213.46,2630.58,2762.39,2862.15,2831.46,2775.94,2474,2499.94,2741.69,2804.97,3229.29,1728.99
烤烟单位面积产量(公斤/公顷),2804.83,2817.94,2693.82,2934.61,2736.33,2750.75,3366.76,3238.2,2651.4,2802.11,2875.53,2818.19,2753.99,2408.44,2526.86,2728.97,2489.27,3230.97,1715.78
糖料单位面积产量(公斤/公顷),,63225.96,60280.44,61404.7,60291.44,59203.01,52663.55,51135.05,29957.52,49591.93,53835.23,52068.07,44699.06,45813.08,33589.08,37037.06,38412.76,37500,29962.38
甘蔗单位面积产量(公斤/公顷),,,,,,,,,,,,0,0,0,0,0,0,0,0
甜菜单位面积产量(公斤/公顷),64126.07,63225.96,60280.44,61404.7,60291.44,59203.01,52663.55,51135.05,29957.52,49591.93,53835.23,52068.07,44699.06,45813.08,33589.08,37037.06,38412.76,37500,29962.38
蔬菜单位面积产量(公斤/公顷),,61177.37,60533.56,60200.49,60400.13,59096.1,58251.74,55698.24,60959.05,63328.33,64932.02,60816.62,62131.44,60223.92,65852.12,59461.24,61334.92,60163.28,47251.25
