-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: latitude  43.88   longitude 125.35 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 223.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN
2022,1,-7.65,-23.1
2022,2,-8.86,-20.82
2022,3,-8.28,-19.39
2022,4,-11.63,-21.32
2022,5,-6.76,-20.56
2022,6,-12.99,-19.72
2022,7,-4.65,-18.51
2022,8,-10.23,-19.61
2022,9,-8.56,-20.75
2022,10,-13.73,-18.07
2022,11,-14.79,-20.53
2022,12,-11.57,-21.89
2022,13,-15.98,-20.83
2022,14,-7.75,-21.21
2022,15,-8.31,-14.75
2022,16,-12.11,-16.39
2022,17,-11.77,-20.56
2022,18,-12.18,-21.77
2022,19,-14.43,-21.72
2022,20,-11.5,-22.76
2022,21,-8.95,-18.99
2022,22,-9.8,-18.45
2022,23,-9.74,-19.0
2022,24,-7.69,-18.83
2022,25,-5.15,-15.36
2022,26,-8.31,-15.35
2022,27,-7.81,-15.54
2022,28,-8.38,-17.38
2022,29,-7.84,-19.11
2022,30,-6.26,-17.3
2022,31,-5.38,-15.94
2022,32,-7.42,-17.87
2022,33,-11.0,-18.04
2022,34,-9.09,-17.57
2022,35,-9.82,-17.57
2022,36,-10.5,-19.78
2022,37,-7.94,-15.63
2022,38,-4.84,-17.51
2022,39,-2.16,-13.67
2022,40,0.94,-13.21
2022,41,1.35,-10.38
2022,42,-5.27,-13.78
2022,43,-6.7,-15.08
2022,44,-8.2,-16.65
2022,45,-12.16,-14.86
2022,46,-12.05,-15.63
2022,47,-13.08,-15.8
2022,48,-7.26,-15.82
2022,49,-5.84,-13.84
2022,50,-10.89,-16.06
