-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: latitude  45.75   longitude 126.63 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 139.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN
2021,1,-19.58,-32.65
2021,2,-18.24,-32.21
2021,3,-17.61,-30.15
2021,4,-18.6,-30.38
2021,5,-17.91,-30.66
2021,6,-17.11,-27.17
2021,7,-22.36,-32.57
2021,8,-21.08,-33.24
2021,9,-18.71,-30.39
2021,10,-16.2,-28.03
2021,11,-14.45,-26.89
2021,12,-9.41,-23.22
2021,13,-10.55,-18.41
2021,14,-14.05,-21.43
2021,15,-14.47,-29.1
2021,16,-16.94,-29.37
2021,17,-17.72,-27.82
2021,18,-19.01,-31.77
2021,19,-18.24,-35.61
2021,20,-4.63,-25.42
2021,21,-11.54,-21.09
2021,22,-11.28,-23.12
2021,23,-8.59,-22.39
2021,24,-7.67,-17.34
2021,25,-9.45,-17.27
2021,26,-9.61,-21.53
2021,27,-12.52,-26.74
2021,28,-16.6,-28.59
2021,29,-20.03,-31.45
2021,30,-19.48,-27.01
2021,31,-16.4,-32.37
2021,32,-16.53,-31.09
2021,33,-21.43,-31.95
2021,34,-18.87,-33.57
2021,35,-16.71,-32.26
2021,36,-7.08,-26.25
2021,37,-11.79,-22.18
2021,38,-13.0,-26.37
2021,39,-13.09,-29.19
2021,40,-8.56,-24.87
2021,41,-5.47,-18.19
2021,42,1.47,-14.48
2021,43,0.64,-11.47
2021,44,-3.26,-16.55
2021,45,-10.31,-22.22
2021,46,-12.54,-24.19
2021,47,-15.76,-28.23
2021,48,-13.39,-17.79
2021,49,-8.39,-22.97
2021,50,-3.08,-14.0
2021,51,-7.12,-14.38
2021,52,-8.64,-20.07
2021,53,-9.33,-21.16
2021,54,-12.67,-25.53
2021,55,-7.62,-26.2
2021,56,-8.41,-17.67
2021,57,-4.68,-16.71
2021,58,1.56,-16.02
2021,59,-3.6,-17.9
2021,60,-9.85,-19.53
2021,61,-6.95,-21.45
2021,62,-1.61,-14.7
2021,63,0.72,-4.93
2021,64,-4.27,-21.99
2021,65,-7.98,-23.47
2021,66,-1.91,-19.44
2021,67,2.64,-13.91
2021,68,1.99,-8.54
2021,69,4.88,-11.29
2021,70,7.08,-7.66
2021,71,7.22,-6.97
2021,72,8.59,-2.82
2021,73,12.19,-1.91
2021,74,6.75,-2.52
2021,75,-2.25,-5.59
2021,76,3.15,-4.61
2021,77,6.32,-5.08
2021,78,6.31,-1.44
2021,79,1.81,-1.69
2021,80,1.98,-3.88
2021,81,5.13,-4.69
2021,82,11.2,-2.45
2021,83,8.61,-0.93
2021,84,6.03,-1.63
2021,85,9.27,-0.93
2021,86,13.47,2.6
2021,87,15.68,1.66
2021,88,6.6,-1.17
2021,89,10.65,0.41
2021,90,10.62,-0.09
2021,91,15.08,-0.16
2021,92,15.28,3.79
2021,93,7.96,-3.36
2021,94,11.38,-3.26
2021,95,17.42,-1.54
2021,96,9.7,-3.68
2021,97,5.07,-6.15
2021,98,6.36,-5.55
2021,99,10.67,-0.64
2021,100,17.04,-0.36
2021,101,13.01,5.84
2021,102,16.83,-4.69
2021,103,1.71,-6.58
2021,104,7.68,-4.12
2021,105,11.99,-3.31
2021,106,10.49,2.22
2021,107,10.16,0.25
2021,108,13.92,-0.5
2021,109,17.38,0.04
2021,110,13.3,-4.22
2021,111,21.69,0.55
2021,112,20.13,8.3
2021,113,15.94,9.31
2021,114,12.66,2.35
2021,115,13.97,-0.59
2021,116,17.4,1.84
2021,117,17.17,6.3
2021,118,14.07,2.07
2021,119,16.0,0.06
2021,120,11.82,3.83
2021,121,13.04,3.97
2021,122,16.69,3.06
2021,123,18.0,6.85
2021,124,16.77,5.36
2021,125,15.69,3.44
2021,126,20.15,3.43
2021,127,14.82,5.89
2021,128,12.61,5.29
2021,129,11.73,4.59
2021,130,15.33,4.49
2021,131,20.26,3.97
2021,132,20.95,8.36
2021,133,21.76,5.12
2021,134,23.5,8.96
2021,135,17.8,9.07
2021,136,22.92,7.6
2021,137,25.32,7.56
2021,138,28.24,11.57
2021,139,23.0,11.24
2021,140,27.46,15.44
2021,141,29.68,13.9
2021,142,29.8,15.12
2021,143,22.02,8.74
2021,144,15.19,6.7
2021,145,18.54,5.06
2021,146,20.84,7.83
2021,147,20.13,7.33
2021,148,14.59,10.5
2021,149,19.87,9.21
2021,150,21.88,11.41
2021,151,23.89,12.13
2021,152,20.9,11.73
2021,153,20.38,8.24
2021,154,18.54,8.16
2021,155,15.14,7.48
2021,156,18.04,9.8
2021,157,21.32,8.4
2021,158,24.62,12.55
2021,159,27.31,12.54
2021,160,26.51,14.49
2021,161,21.27,16.07
2021,162,26.29,15.97
2021,163,28.13,16.32
2021,164,25.17,18.29
2021,165,28.48,16.8
2021,166,24.38,18.41
2021,167,28.51,17.48
2021,168,24.85,15.45
2021,169,18.71,14.07
2021,170,20.72,14.4
2021,171,22.73,14.68
2021,172,22.61,12.7
2021,173,25.35,12.82
2021,174,27.58,16.21
2021,175,27.62,15.07
2021,176,28.45,15.77
2021,177,27.13,16.88
2021,178,25.95,16.6
2021,179,27.06,17.39
2021,180,28.08,17.4
2021,181,28.22,18.52
2021,182,23.22,17.9
2021,183,25.35,18.77
2021,184,28.55,19.42
2021,185,22.21,18.12
2021,186,25.07,17.27
2021,187,27.31,17.48
2021,188,24.8,18.55
2021,189,27.65,18.54
2021,190,24.85,18.88
2021,191,26.57,18.37
2021,192,28.19,19.19
2021,193,29.95,21.03
2021,194,31.29,22.59
2021,195,30.75,23.99
2021,196,29.27,23.01
2021,197,30.12,24.31
2021,198,29.77,23.38
2021,199,30.67,22.56
2021,200,30.58,22.34
2021,201,29.52,22.54
2021,202,30.1,22.25
2021,203,30.59,22.33
2021,204,30.34,23.55
2021,205,31.22,21.68
2021,206,27.51,22.61
2021,207,29.83,21.88
2021,208,31.02,22.73
2021,209,30.2,22.87
2021,210,28.42,22.96
2021,211,29.91,23.05
2021,212,30.09,22.05
2021,213,28.77,19.9
