-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2006 through 12/31/2006 in LST
Location: latitude  41.8   longitude 123.43 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 55.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN
2006,1,-3.58,-11.73
2006,2,-5.01,-16.99
2006,3,-8.65,-18.0
2006,4,-10.75,-20.78
2006,5,-9.85,-21.99
2006,6,-9.4,-21.14
2006,7,-5.04,-19.39
2006,8,-2.98,-16.42
2006,9,-5.84,-16.29
2006,10,-8.11,-17.67
2006,11,-6.72,-17.46
2006,12,-4.55,-12.65
2006,13,-5.29,-11.33
2006,14,-6.3,-14.65
2006,15,-5.1,-14.47
2006,16,-11.2,-20.39
2006,17,-11.84,-22.98
2006,18,-8.62,-20.42
2006,19,-6.27,-20.13
2006,20,-6.11,-16.83
2006,21,-5.34,-17.2
2006,22,-10.26,-20.68
2006,23,-8.27,-20.89
2006,24,-5.83,-18.47
2006,25,-3.66,-13.68
2006,26,0.11,-15.39
2006,27,-5.62,-16.34
2006,28,-0.17,-14.96
2006,29,-3.87,-15.94
2006,30,-7.68,-18.99
2006,31,-4.33,-13.35
2006,32,-9.83,-18.77
2006,33,-12.97,-24.74
2006,34,-15.15,-26.46
2006,35,-10.38,-23.5
2006,36,-4.5,-20.83
2006,37,-6.36,-10.21
2006,38,-10.73,-17.93
2006,39,-7.6,-21.31
2006,40,-2.15,-19.08
2006,41,1.15,-12.68
2006,42,-4.21,-15.81
2006,43,1.1,-16.74
2006,44,3.82,-1.74
2006,45,1.18,-8.99
2006,46,1.05,-13.1
2006,47,-5.2,-15.98
2006,48,-1.96,-18.9
2006,49,5.54,-10.76
2006,50,8.59,-7.17
2006,51,7.93,-2.98
2006,52,5.7,-4.6
2006,53,-1.38,-9.15
2006,54,-0.65,-11.88
2006,55,-3.6,-12.36
2006,56,-5.63,-14.76
2006,57,-6.4,-18.63
2006,58,-2.96,-17.3
2006,59,-3.53,-10.91
2006,60,-2.02,-9.57
2006,61,-0.27,-10.29
2006,62,2.22,-14.16
2006,63,0.0,-9.01
2006,64,3.29,-8.02
2006,65,1.71,-11.83
2006,66,5.62,-7.82
2006,67,5.06,-9.22
2006,68,8.01,-4.96
2006,69,9.68,-5.06
2006,70,-2.03,-8.93
2006,71,-2.65,-13.01
2006,72,-0.85,-11.89
2006,73,8.78,-11.41
2006,74,10.43,-2.92
2006,75,13.04,-1.24
2006,76,15.6,-0.98
2006,77,5.56,-4.7
2006,78,11.2,-5.69
2006,79,12.58,-4.04
2006,80,13.81,-2.08
2006,81,7.82,-3.02
2006,82,8.62,-5.87
2006,83,13.2,-2.33
2006,84,5.05,-4.75
2006,85,8.07,-5.37
2006,86,7.42,-4.4
2006,87,3.66,-6.0
2006,88,7.72,-4.34
2006,89,8.31,-5.66
2006,90,12.09,-1.9
2006,91,7.45,-0.78
2006,92,14.27,-3.23
2006,93,18.01,-0.34
2006,94,16.95,0.12
2006,95,9.21,-5.05
2006,96,6.95,-1.44
2006,97,9.85,-2.61
2006,98,12.21,-5.04
2006,99,17.51,0.05
2006,100,21.51,8.1
2006,101,15.01,2.93
2006,102,8.92,-3.66
2006,103,12.83,-5.84
2006,104,13.08,-1.81
2006,105,6.6,-3.24
2006,106,11.07,-3.92
2006,107,6.67,0.69
2006,108,15.15,0.15
2006,109,7.44,2.77
2006,110,13.48,0.44
2006,111,18.34,0.63
2006,112,17.49,1.66
2006,113,14.2,-0.24
2006,114,12.88,-1.01
2006,115,17.95,-0.92
2006,116,16.41,3.76
2006,117,21.24,3.12
2006,118,18.83,3.52
2006,119,16.17,3.17
2006,120,19.09,3.26
2006,121,18.42,3.41
2006,122,20.85,2.48
2006,123,22.57,4.77
2006,124,22.24,9.26
2006,125,22.18,7.83
2006,126,26.15,5.22
2006,127,27.62,8.29
2006,128,19.95,11.96
2006,129,23.74,12.3
2006,130,19.32,8.38
2006,131,22.47,2.64
2006,132,20.72,8.24
2006,133,20.75,8.1
2006,134,26.58,4.13
2006,135,28.51,9.05
2006,136,29.5,10.73
2006,137,21.5,10.61
2006,138,25.84,9.74
2006,139,22.59,9.14
2006,140,26.06,10.5
2006,141,18.15,11.86
2006,142,28.54,9.87
2006,143,24.08,8.43
2006,144,27.7,10.16
2006,145,22.85,13.27
2006,146,26.72,11.16
2006,147,26.85,13.62
2006,148,28.79,12.91
2006,149,31.04,15.05
2006,150,32.13,12.13
2006,151,28.11,16.11
2006,152,32.17,15.4
2006,153,33.29,13.9
2006,154,23.94,15.16
2006,155,30.53,13.07
2006,156,32.36,14.92
2006,157,32.63,14.09
2006,158,25.1,16.84
2006,159,26.98,12.54
2006,160,21.64,12.83
2006,161,22.71,12.62
2006,162,26.78,12.66
2006,163,29.26,15.98
2006,164,27.34,16.4
2006,165,22.88,13.67
2006,166,26.43,11.74
2006,167,22.23,12.0
2006,168,27.38,13.5
2006,169,29.5,14.94
2006,170,27.24,17.99
2006,171,32.1,16.8
2006,172,32.74,16.93
2006,173,31.18,16.99
2006,174,31.78,17.32
2006,175,30.66,19.66
2006,176,28.97,18.79
2006,177,28.64,17.82
2006,178,29.61,16.38
2006,179,30.3,13.72
2006,180,25.08,18.88
2006,181,27.27,18.25
2006,182,27.25,17.42
2006,183,31.9,17.72
2006,184,31.44,18.55
2006,185,32.11,19.81
2006,186,26.94,20.67
2006,187,28.31,19.5
2006,188,29.52,18.59
2006,189,30.65,19.04
2006,190,29.01,19.56
2006,191,29.96,20.99
2006,192,31.71,22.35
2006,193,32.04,21.66
2006,194,33.85,21.56
2006,195,32.76,23.28
2006,196,32.62,21.58
2006,197,33.26,18.33
2006,198,31.06,20.75
2006,199,30.02,20.76
2006,200,32.34,19.85
2006,201,30.62,20.84
2006,202,28.18,19.77
2006,203,27.38,15.96
2006,204,26.83,12.81
2006,205,26.66,15.7
2006,206,28.7,13.55
2006,207,28.9,19.12
2006,208,30.73,18.56
2006,209,31.15,18.22
2006,210,33.18,21.58
2006,211,31.76,22.66
2006,212,33.49,22.84
2006,213,25.59,22.27
2006,214,27.38,20.89
2006,215,30.64,21.54
2006,216,28.34,22.43
2006,217,28.34,22.5
2006,218,30.67,21.87
2006,219,32.11,22.13
2006,220,32.25,22.73
2006,221,30.14,23.18
2006,222,31.35,22.26
2006,223,32.44,23.54
2006,224,30.56,24.12
2006,225,28.83,23.11
2006,226,31.23,21.54
2006,227,32.48,19.57
2006,228,30.51,17.5
2006,229,29.76,15.47
2006,230,29.83,14.27
2006,231,33.37,14.66
2006,232,33.87,16.27
2006,233,27.36,15.88
2006,234,31.89,12.53
2006,235,32.38,18.74
2006,236,32.62,17.36
2006,237,34.19,18.45
2006,238,24.43,20.01
2006,239,29.56,19.34
